,Country Name,Country Code,Year,"Agriculture, value added (% of GDP)",Consumer price index (2010 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),GDP growth (annual %),ICT goods imports (% total goods imports),"Industry, value added (% of GDP)","Inflation, consumer prices (annual %)","Literacy rate, adult total (% of people ages 15 and above)","Manufacturing, value added (annual % growth)","Population, total",Rural population,"Self-employed, total (% of total employment) (modeled ILO estimate)",Tax revenue (% of GDP),"Total employment, total (ages 15+)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
0,Afghanistan,AFG,2000,13.093818940636364,95.001703717767,79.16300201,4.239316643263157,7.939214514544554,22.90349948964546,4.500098998838096,88.9255150236842,3.411329332731959,20093756.0,15657457.0,79.19000244,17.515715373641306,4740034.0,11.18400002,4436299.0,20.80999947
1,Afghanistan,AFG,2002,37.93882062,95.001703717767,74.50700378,4.239316643263157,7.939214514544554,23.38548244,4.500098998838096,88.9255150236842,3.411329332731959,21979923.0,17086972.0,77.65399933,17.515715373641306,5419156.0,8.690999985,4892951.0,22.34600067
2,Afghanistan,AFG,2004,29.39119563,63.13189273,71.6989975,1.055555787,7.939214514544554,25.93558204,4.500098998838096,88.9255150236842,4.153036351,24118979.0,18692209.0,75.05599976,17.515715373641306,5980296.0,10.0010004,5426770.0,24.94400024
3,Afghanistan,AFG,2006,28.28973831,76.30217768,70.60500336,5.554137623,7.939214514544554,27.86972021,7.254895561,88.9255150236842,3.194615023,25893450.0,19962037.0,74.0059967,6.883364339,6487677.0,9.05700016,5931413.0,25.99399948
4,Afghanistan,AFG,2008,24.69382301,108.0666,67.2460022,3.611368392,0.48669731,26.70104173,30.55494061,88.9255150236842,2.346243086,27294031.0,20929063.0,72.31999969,6.039428306,6743809.0,8.755000114,6364968.0,27.68000031
5,Afghanistan,AFG,2010,26.07825278,100.0,64.49900055,8.433290482,0.374311714,21.04463784,0.892536936,88.9255150236842,3.840390139,28803167.0,21966159.0,68.46199799,9.123651121,7159144.0,7.821000099,6837008.0,31.53800011
6,Afghanistan,AFG,2012,23.64363865,118.1563,61.68299866,14.43474129,0.150415083,20.99520665,7.218257761,88.9255150236842,7.316250792,30696958.0,23280573.0,66.65799713,7.471638846,7881429.0,7.93599987,7416385.0,33.34199905
7,Afghanistan,AFG,2014,22.00929802,133.0570866,61.63000107,2.690521948,0.085954045,21.12375692,4.604334009,88.9255150236842,-1.834143988,32758020.0,24703806.0,66.63600159,6.842385662,8734840.0,8.706000328,8054214.0,33.36399841
8,Afghanistan,AFG,2016,20.96589761,137.9045637,61.34899902,2.366711916,0.262056153,21.70399519,2.169452176,88.9255150236842,0.997972096,34656032.0,25985093.0,67.2480011,17.515715373641306,9618882.0,8.840999603,8670939.0,32.7519989
9,Austria,AUT,2000,1.647300213,82.60190712,6.051000118,3.375721973,9.221149236,28.28480203,2.395185512,88.9255150236842,6.464743246,8011566.0,3187562.0,13.54599953,26.22507988,3716271.0,4.690000057,4824004.0,86.45400238
10,Austria,AUT,2002,1.562774411,86.32587638,5.758999825,1.651549407,8.542787247,27.38807848,1.802101999,88.9255150236842,-1.349644318,8081957.0,3260666.0,13.54399967,26.97550032,3780207.0,4.849999905,4821291.0,86.45600128
11,Austria,AUT,2004,1.476474393,89.29954476,4.90199995,2.735118518,7.366109971,27.37376782,2.061228151,88.9255150236842,3.028746696,8171966.0,3342824.0,12.59399986,26.30867249,3664377.0,5.829999924,4829142.0,87.40599823
12,Austria,AUT,2006,1.303189459,92.66955683,5.243999958,3.454041032,6.925957045,27.25937083,1.449618451,88.9255150236842,7.927478571,8268641.0,3428840.0,13.08399963,25.05044256,3860975.0,5.239999771,4839801.0,86.91600037
13,Austria,AUT,2008,1.342223027,97.72398234,5.251999855,1.460425193,5.687564304,26.96021414,3.21592066,88.9255150236842,1.087502315,8321496.0,3497858.0,13.57800007,26.07751972,4035613.0,4.130000114,4823638.0,86.42199707
14,Austria,AUT,2010,1.267327672,100.0,5.212999821,1.837094592,5.796071812,25.53499425,1.813535031,88.9255150236842,8.118824132,8363404.0,3562894.0,13.85099983,25.28163551,4070427.0,4.820000172,4800510.0,86.14900208
15,Austria,AUT,2012,1.34855139,105.8539492,4.675000191,0.680444374,5.141428996,25.63396853,2.485675087,88.9255150236842,2.038548135,8429991.0,3612504.0,13.11299992,25.92819764,4140342.0,4.869999886,4817487.0,86.88700104
16,Austria,AUT,2014,1.200945336,109.7050023,4.836999893,0.828733875,5.254426709,25.36241984,1.605805605,88.9255150236842,2.529414206,8546356.0,3629979.0,13.32900047,26.42451741,4164050.0,5.619999886,4916377.0,86.67099762
17,Austria,AUT,2016,1.101588998,111.6754703,4.34800005,1.450915438,7.44942589,24.7109938,0.891590693,88.9255150236842,1.291329875,8736668.0,3677700.0,12.75,25.66657247,4262611.0,6.010000229,5058968.0,87.25
18,Canada,CAN,2000,13.093818940636364,81.89038351,3.288000107,5.182690286,13.08853947,22.90349948964546,2.719439957,88.9255150236842,3.411329332731959,30769700.0,6314558.0,16.17200089,14.90738221,15126383.0,6.829999924,24455142.0,83.82800293
19,Canada,CAN,2002,13.093818940636364,85.85432169,2.767999887,3.010016308,9.566660803,22.90349948964546,2.258394409,88.9255150236842,3.411329332731959,31362000.0,6307525.0,15.23900032,13.42525802,15646673.0,7.659999847,25054475.0,84.76100159
20,Canada,CAN,2004,13.093818940636364,89.86119061,2.640000105,3.085961209,9.330763337,22.90349948964546,1.857258719,88.9255150236842,3.411329332731959,31995000.0,6384602.0,15.47000027,13.39032045,16319465.0,7.190000057,25610398.0,84.52999878
21,Canada,CAN,2006,13.093818940636364,93.68918145,2.655999899,2.623412623,8.763457412,22.90349948964546,2.002025395,88.9255150236842,3.411329332731959,32570505.0,6444726.0,15.31000042,13.38728474,16779839.0,6.320000172,26125779.0,84.69000244
22,Canada,CAN,2008,1.597654579,97.96078993,2.384000063,1.000360973,7.944421085,29.72001721,2.370270674,88.9255150236842,-5.308407515,33245773.0,6456994.0,15.62199974,12.42102627,17433060.0,6.139999866,26788779.0,84.37799835
23,Canada,CAN,2010,1.33166399,100.0,2.313999891,3.08351422,8.430069514,26.71311708,1.776871541,88.9255150236842,4.773826325,34005274.0,6482425.0,15.85299969,11.76044487,17388923.0,8.06000042,27522849.0,84.14700317
24,Canada,CAN,2012,1.647293626,104.4719519,2.191999912,1.745472283,7.322609116,27.0335658,1.515678231,88.9255150236842,1.565772389,34750545.0,6554995.0,15.39900017,11.69256444,17859686.0,7.289999962,28195550.0,84.60099792
25,Canada,CAN,2014,1.424795747,107.4627934,2.061000109,2.855739204,6.875144007,27.5332382,1.906635907,88.9255150236842,2.854904484,35535348.0,6674249.0,15.34500027,11.83636656,18246655.0,6.909999847,28861099.0,84.65499878
26,Canada,CAN,2016,13.093818940636364,110.2246709,1.947999954,1.414102746,7.073490373,22.90349948964546,1.428759547,88.9255150236842,0.481523908,36264604.0,6781481.0,15.35499954,12.17584227,18531444.0,7.0,29483123.0,84.64499664
27,Chile,CHL,2000,5.377918724,73.67326509,14.43700027,5.326938419,10.19168294,31.42229659,3.843273473,88.9255150236842,6.204629872,15262754.0,2125644.0,30.60099983,16.15269282,5504900.0,9.159999847,13137110.0,69.39900208
28,Chile,CHL,2002,4.435255293,78.20221504,13.49800014,3.106970532,8.568338204,31.96600263,2.489398331,95.7166214,2.282044762,15623635.0,2092630.0,31.54000092,16.20169514,5682529.0,8.93999958,13531005.0,68.45999908
29,Chile,CHL,2004,4.06381132,81.24784521,13.3579998,7.209539709,8.260318335,36.00056642,1.054739332,88.9255150236842,6.600785693,15973778.0,2120519.0,31.86000061,16.40223152,6091721.0,8.81000042,13853259.0,68.13999939
30,Chile,CHL,2006,3.87711014,86.56806614,12.84599972,6.317176343,5.579954664,41.10698791,3.392018991,88.9255150236842,5.141347382,16319792.0,2147358.0,28.97400093,19.49190685,6404364.0,7.690000057,14172434.0,71.02600098
31,Chile,CHL,2008,3.710723945,98.2619073,11.7159996,3.529530553,6.172543608,34.23929362,8.716268548,98.6490097,1.264355069,16661942.0,2172884.0,27.27000046,18.71185961,6883776.0,7.800000191,14489058.0,72.73000336
32,Chile,CHL,2010,3.615889645,100.0,10.60499954,5.844177296,7.868395617,35.69509452,1.409964751,88.9255150236842,3.268086553,16993354.0,2196561.0,27.42399979,17.3565144,7331269.0,8.420000076,14796793.0,72.5759964
